training_center/region,address,contact_person,telephone_number,fax_number,mobile_phone_number
ATI-CAR,"Benguet State University Compound, La Trinidad, Benguet",Dr. Arlene L. Flores,(074)422-7460,(074)422-7460,(0920)222-2965
ATI-Region I,"Tebag, Sta. Barbara, Pangasisnan",Rogelio C. Evangelista,(075)523-2266,(075)523-2266,(0921)967-9905
ATI-Region II,"Malasin, San Mateo, Isabela",Renato A. Maguigad,(0917)801-4549,(078)664-2086,(0917)564-9600
ATI-Region III,"Government Center, San Ramon, Dinalupihan, Bataan",Virginiano G. Garo,(047)481-1578,(047)481-1578,(0917)890-6196
ATI-Region IV-A,"University of the Philippines at Los Banos (UPLB), Laguna",Cesar N. Vida,(049)536-3263,(049)536-5600,(0915)816-6431
ATI-Region IV-B,"Barcenaga, Naujan, Oriental, Mindoro",Pat Andrew B. Barrientos,(043)447-0481,(043)447-0481,(0919)944-3065
ATI-Region V,"Bicol University College of Agriculture and Forestry (BUCAF)Compound , Guinobatan, Albay",Efren C. Sabularse,(052)484-6059,(052)484-6059,(0927)234-2854
ATI-Region VI,"Aklan State University (ASU) Compound, Banga, Aklan",Allan V. Alimodian,(036)267-5951,(036)267-6786,(0928)507-0835
ATI-Region VII,"ATI-RTC 7 Complex, Cabawan District,Tagbilaran City 6300, Bohol ",Carolyn May O. Daquio,(038)500-1280,(038)500-1280,(0917)721-4328
ATI-Region VIII,"Visayas State University (VSU)Campus, ViSCA, Baybay City, Leyte       ",Paulino T. Cabahit,(053)335-2614,(053)335-2614,(0915)542-9195
ATI-Region IX,"Oval Complex, Sagun St.,San Francisco District, Pagadian City                   ",Dennis C. Prosianos,(062)925-0747,(062)925-0747,(0927)585-2908          
ATI-Region X,"Poblacion 9017, El Salvador, Misamis Oriental ",Angelito Y. Quirog,(088)283-6561,(088)283-6561,(905)250-2259
ATI-Region XI,"Datu Abdul, Panabo City, Davao del Norte",Richard C. Rubis,(084)822-1138,(084)822-1138,(0927)364-4985
ATI-Region XII,"San Felipe, Tantangan, South Cotabato",Abdul I. Daya-An,(083)229-1023,(083)229-1023,(0916)346-3906
ATI-Region XIII,"Los Angeles, Butuan City",Dr. Nenita D. Sumile,(085)815-7528,(085)815-7528,(0919)445-8622
ATI-ITCPH,"Bo. Maraouy, Lipa City",Alexander C. Castillo,(043)756-1987,(043)756-1995,(0928)521-0782
