development_projects,particulars_1,particulars_2,status,current_appropriation,total_appropriation,expenditures_continuing_2011,expenditures_current_2012,total,total_balance
Social Development,Social Development,Social Development,-,-,-,-,-,-,-
Social Development,Urban Settlement development program,Urban Settlement development program,6918,5000000,5000000,-,-,-,5000000
Social Development,Area Upgarding Development,Area Upgarding Development,6918-1,3000000,3000000,-,185000,185000,2812000
Economic Development,Economic Development,Economic Development,-,-,-,-,-,-,-
Economic Development,Naga River Rehabilitation Project ,Naga River Rehabilitation Project ,8919,5000000,5000000,-,-,-,5000000
Economic Development,Urban Development and Greening Fund,Urban Development and Greening Fund,8918,27105013.29,27105013.29,-,3323072.18,3323072.18,27781941.11
Economic Development,Maintenance and Streetlights,Maintenance and Streetlights,8918,4000000,4000000,-,270660,270660,3729340000
Economic Development,Agricultural and Livestock Development Fund,Agricultural and Livestock Development Fund,8918-1,5000000,5000000,-,-,-,-
Economic Development,Agricultural and Livestock Development Fund,Provision of Post Harvest Facilities ,-,1500000,1500000,-,-,-,150000
Economic Development,Agricultural and Livestock Development Fund,Marketing Support Transport Vehicle,-,1500000,1500000,-,-,-,150000
Economic Development,Agricultural and Livestock Development Fund,Improvement  of Naga City Nursery,-,1000000,1000000,-,-,-,1000000
Economic Development,Agricultural and Livestock Development Fund,Dairy Production Program,-,1000000,1000000,-,-,-,1000000
Economic Development,Amortization of Development Project Loans,Amortization of Development Project Loans,-,32123613.51,32123613.51,-,-,-,-
Economic Development,Amortization of Development Project Loans,"LBP (Naga City Coliseum, Old P42819M)",-,6179503.58,6179503.58,-,1566278.23,1566278.23,4613225.35
Economic Development,Amortization of Development Project Loans,"LBP (Naga City Coliseum, New 109.917 M)",-,16202783.12,16202783.12,--,"8,157,463,40",8157463.4,8045319.72
Economic Development,Amortization of Development Project Loans,"DBP (Naga City Coliseum, Additionall P47556 M)",-,5391339.31,5391339.31,-,1373095.24,1373095.24,4018244.07
Economic Development,Amortization of Development Project Loans,DBP (Repair of Public Market P40.000 M),-,4349987.5,4349987.5,-,1916183.16,1916183.16,2433506.34
Enviromental Development,Enviromental Development,Enviromental Development,-,-,-,-,-,-,-
Enviromental Development,Solid Management Fund,Solid Management Fund,8919-1,7000000,7000000,-,271700,271700,6728300
Grand Totals,Grand Totals,Grand Totals,-,88228626.8,88228625.8,-,17063750.21,17063750.21,71164875.59
